study_ID,short_cite,long_cite,publication_year,doi,peer_reviewed,coder,expt_unique,expt_condition,same_sample,task_type,task_type_spec,participant_design,native_language,group_name_1,group_name_2,n_1,n_2,prosody_type,feature,unit,x_1,x_2,SD_1,SD_2,notes
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).5,2nd syll unstress,C,constrained_production,sentence completion,between,English,RHD,HC,8,7,linguistic,intensity,NA,56.25,56.85714286,4.713203339,3.484660262,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).6,1st syll unstress,C,constrained_production,sentence completion,between,English,RHD,HC,8,7,linguistic,intensity,NA,54.25,61.71428571,6.923046398,2.288688541,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).7,2nd syll stress,C,constrained_production,sentence completion,between,English,RHD,HC,8,7,linguistic,intensity,NA,56.75,59.14285714,3.9551052,2.267786838,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).8,Compound Nouns,C,constrained_production,sentence completion,between,English,RHD,HC,7,7,linguistic,pause_duration,Intersyllabic pause,150.5,156.1428571,25.48949363,18.26133047,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).9,Noun phrases,C,constrained_production,sentence completion,between,English,RHD,HC,7,7,linguistic,pause_duration,Intersyllabic pause,172.125,193.5714286,25.59820027,41.20217285,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).10,1st syll stress,C,constrained_production,sentence completion,between,English,RHD,HC,8,7,linguistic,speech_duration,Vowel/Syllable,138,104.285714,24.3545244,14.1975853,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).11,2nd syll unstress,C,constrained_production,sentence completion,between,English,RHD,HC,8,7,linguistic,speech_duration,Vowel/Syllable,136.125,115.571429,30.5634586,39.4666828,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).12,1st syll unstress,C,constrained_production,sentence completion,between,English,RHD,HC,8,7,linguistic,speech_duration,Vowel/Syllable,136.875,128.714286,29.7198226,24.69625,NA
Behrens1988,Behrens (1988),"Behrens, S. J. (1988). The role of the right hemisphere in the production of linguistic stress. Brain Lang, 33(1), 104-127.",1988,https://doi.org/10.1016/0093-934X(88)90057-0,yes,"LNJ, ND",Behrens (1988).13,2nd syll stress,C,constrained_production,sentence completion,between,English,RHD,HC,8,7,linguistic,speech_duration,Vowel/Syllable,170.875,155.714286,42.582483,40.9256003,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989),declaritives,C,constrained_production,story completion,between,English,RHD,HC,8,7,linguistic,F0_contour,Linearity of pitch contour,0.19125,0.478571429,0.159143915,0.205055161,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).1,imperatives,C,constrained_production,story completion,between,English,RHD,HC,8,7,linguistic,F0_contour,Linearity of pitch contour,0.29,0.558571429,0.184037069,0.26717214,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).2,yes/no,C,constrained_production,story completion,between,English,RHD,HC,8,7,linguistic,F0_contour,Linearity of pitch contour,0.29,0.067142857,0.18293897,0.682879059,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).3,wh-,C,constrained_production,story completion,between,English,RHD,HC,8,7,linguistic,F0_contour,Linearity of pitch contour,0.37125,0.432857143,0.184037069,0.167602137,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).4,declaritives,C,constrained_production,story completion,between,English,RHD,HC,8,7,linguistic,F0_contour,Slope of pitch contour,-0.33375,-0.675714286,0.302226854,0.164403684,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).5,imperatives,C,constrained_production,story completion,between,English,RHD,HC,8,7,linguistic,F0_contour,Slope of pitch contour,-0.36,-0.584285714,0.6835203,0.505465368,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).6,yes/no,C,constrained_production,story completion,between,English,RHD,HC,8,7,linguistic,F0_contour,Slope of pitch contour,0.54,0.067142857,0.146580061,0.682879059,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).7,wh-,C,constrained_production,story completion,between,English,RHD,HC,8,7,linguistic,F0_contour,Slope of pitch contour,-0.44,-0.324285714,0.45254834,0.618300281,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).8,declaritives,C,constrained_production,story completion,between,English,RHD,HC,8,7,linguistic,pitch_variability,Variation of pitch contour,9.75,10,3.918819064,1.414213562,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).9,imperatives,C,constrained_production,story completion,between,English,RHD,HC,8,7,linguistic,pitch_variability,Variation of pitch contour,11.25,13.28571429,3.412163118,2.360387377,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).10,yes/no,C,constrained_production,story completion,between,English,RHD,HC,8,7,linguistic,pitch_variability,Variation of pitch contour,9,17.85714286,4.082482905,5.113008619,NA
Behrens1989,Behrens (1989),"Behrens, S. J. (1989). Characterizing sentence intonation in a right hemisphere-damaged population. Brain and language.",1989,https://doi.org/10.1016/0093-934X(89)90014-X,yes,"LNJ, ND",Behrens (1989).11,wh-,C,constrained_production,story completion,between,English,RHD,HC,8,7,linguistic,pitch_variability,Variation of pitch contour,12.5,16.28571429,3.585685828,5.736267245,NA
Ouellette1994,Ouellette & Baum (1994),"Ouellette, G. P., & Baum, S. R. (1994). Acoustic analysis of prosodic cues in left- and righthemisphere-damaged patients. Aphasiology, 8(3), 257-283.",1994,https://doi.org/10.1080/02687039408248656,yes,"LNJ, ND",Ouellette & Baum (1994),compound nouns,D,constrained_production,sentence completion,between,English,RHD,HC,8,9,linguistic,pitch_variability,Mean ratio between contrasting syllables,0.88125,0.81,0.09568363,0.09617692,NA
Ouellette1994,Ouellette & Baum (1994),"Ouellette, G. P., & Baum, S. R. (1994). Acoustic analysis of prosodic cues in left- and righthemisphere-damaged patients. Aphasiology, 8(3), 257-283.",1994,https://doi.org/10.1080/02687039408248656,yes,"LNJ, ND",Ouellette & Baum (1994).1,noun phrases,D,constrained_production,sentence completion,between,English,RHD,HC,8,9,linguistic,pitch_variability,Mean ratio between contrasting syllables,0.96,0.893333333,0.085429587,0.136381817,NA
Ouellette1994,Ouellette & Baum (1994),"Ouellette, G. P., & Baum, S. R. (1994). Acoustic analysis of prosodic cues in left- and righthemisphere-damaged patients. Aphasiology, 8(3), 257-283.",1994,https://doi.org/10.1080/02687039408248656,yes,"LNJ, ND",Ouellette & Baum (1994).2,compound nouns,D,constrained_production,sentence completion,between,English,RHD,HC,8,9,linguistic,intensity_variability,Ratio syllable 1/2,0.97,0.954444444,0.026726124,0.029627315,NA
Ouellette1994,Ouellette & Baum (1994),"Ouellette, G. P., & Baum, S. R. (1994). Acoustic analysis of prosodic cues in left- and righthemisphere-damaged patients. Aphasiology, 8(3), 257-283.",1994,https://doi.org/10.1080/02687039408248656,yes,"LNJ, ND",Ouellette & Baum (1994).3,noun phrases,D,constrained_production,sentence completion,between,English,RHD,HC,8,9,linguistic,intensity_variability,Ratio syllable 1/2,0.96,0.967777778,0.016035675,0.017873009,NA
Ouellette1994,Ouellette & Baum (1994),"Ouellette, G. P., & Baum, S. R. (1994). Acoustic analysis of prosodic cues in left- and righthemisphere-damaged patients. Aphasiology, 8(3), 257-283.",1994,https://doi.org/10.1080/02687039408248656,yes,"LNJ, ND",Ouellette & Baum (1994).4,Compound Nouns,D,constrained_production,sentence completion,between,English,RHD,HC,8,9,linguistic,pause_duration,Intersyllabic pause,146.5,160.2222222,35.4682957,35.31564022,NA
Ouellette1994,Ouellette & Baum (1994),"Ouellette, G. P., & Baum, S. R. (1994). Acoustic analysis of prosodic cues in left- and righthemisphere-damaged patients. Aphasiology, 8(3), 257-283.",1994,https://doi.org/10.1080/02687039408248656,yes,"LNJ, ND",Ouellette & Baum (1994).5,Noun phrases,D,constrained_production,sentence completion,between,English,RHD,HC,8,9,linguistic,pause_duration,Intersyllabic pause,163.75,187.6666667,28.04460732,43.59185704,NA
Ouellette1994,Ouellette & Baum (1994),"Ouellette, G. P., & Baum, S. R. (1994). Acoustic analysis of prosodic cues in left- and righthemisphere-damaged patients. Aphasiology, 8(3), 257-283.",1994,https://doi.org/10.1080/02687039408248656,yes,"LNJ, ND",Ouellette & Baum (1994).6,compound nouns,D,constrained_production,sentence completion,between,English,RHD,HC,8,9,linguistic,speech_duration_ratio,Ratio syllable 1/2,1.1775,1.22444444,0.16024535,0.16133127,NA
Ouellette1994,Ouellette & Baum (1994),"Ouellette, G. P., & Baum, S. R. (1994). Acoustic analysis of prosodic cues in left- and righthemisphere-damaged patients. Aphasiology, 8(3), 257-283.",1994,https://doi.org/10.1080/02687039408248656,yes,"LNJ, ND",Ouellette & Baum (1994).7,noun phrases,D,constrained_production,sentence completion,between,English,RHD,HC,8,9,linguistic,speech_duration_ratio,Ratio syllable 1/2,1.25625,1.29555556,0.15564956,0.22153505,NA
Gandour1995,Gandour et al. (1995),"Gandour, J., Larsen, J., Dechongkit, S., Ponglorpisit, S., & Khunadorn, F. (1995). Speech prosody in affective contexts in Thai patients with right hemisphere lesions. Brain and Language, 51(3), 422-443.",1995,https://doi.org/10.1006/brln.1995.1069,yes,"LNJ, ND",Gandour et al. (1995),happy,E,constrained_production,sentence reading,between,Thai,RHD,HC,12,9,emotional,pitch_variability,F0 variability (z-score),0.073611111,0.082517483,0.04330127,0.096503497,NA
Gandour1995,Gandour et al. (1995),"Gandour, J., Larsen, J., Dechongkit, S., Ponglorpisit, S., & Khunadorn, F. (1995). Speech prosody in affective contexts in Thai patients with right hemisphere lesions. Brain and Language, 51(3), 422-443.",1995,https://doi.org/10.1006/brln.1995.1069,yes,"LNJ, ND",Gandour et al. (1995).1,neutral,E,constrained_production,sentence reading,between,Thai,RHD,HC,12,9,emotional,pitch_variability,F0 variability (z-score),0.063888889,0.06013986,0.04330127,0.205594406,NA
Gandour1995,Gandour et al. (1995),"Gandour, J., Larsen, J., Dechongkit, S., Ponglorpisit, S., & Khunadorn, F. (1995). Speech prosody in affective contexts in Thai patients with right hemisphere lesions. Brain and Language, 51(3), 422-443.",1995,https://doi.org/10.1006/brln.1995.1069,yes,"LNJ, ND",Gandour et al. (1995).2,sad,E,constrained_production,sentence reading,between,Thai,RHD,HC,12,9,emotional,pitch_variability,F0 variability (z-score),0.063888889,0.064335664,0.014433757,0.264335664,NA
Gandour1995,Gandour et al. (1995),"Gandour, J., Larsen, J., Dechongkit, S., Ponglorpisit, S., & Khunadorn, F. (1995). Speech prosody in affective contexts in Thai patients with right hemisphere lesions. Brain and Language, 51(3), 422-443.",1995,https://doi.org/10.1006/brln.1995.1069,yes,"LNJ, ND",Gandour et al. (1995).3,happy,E,constrained_production,sentence reading,between,Thai,RHD,HC,12,9,emotional,intensity_variability,Utterance,6.625277162,8.522123894,3.502506289,5.814159292,Paper does not report what error bars represent. Based on size and author's other papers from the same era  we assume they are SE  and have calculated SD based on that assumption
Gandour1995,Gandour et al. (1995),"Gandour, J., Larsen, J., Dechongkit, S., Ponglorpisit, S., & Khunadorn, F. (1995). Speech prosody in affective contexts in Thai patients with right hemisphere lesions. Brain and Language, 51(3), 422-443.",1995,https://doi.org/10.1006/brln.1995.1069,yes,"LNJ, ND",Gandour et al. (1995).4,neutral,E,constrained_production,sentence reading,between,Thai,RHD,HC,12,9,emotional,intensity_variability,Utterance,7.10421286,8.442477876,4.97724578,3.82300885,Paper does not report what error bars represent. Based on size and author's other papers from the same era  we assume they are SE  and have calculated SD based on that assumption
Gandour1995,Gandour et al. (1995),"Gandour, J., Larsen, J., Dechongkit, S., Ponglorpisit, S., & Khunadorn, F. (1995). Speech prosody in affective contexts in Thai patients with right hemisphere lesions. Brain and Language, 51(3), 422-443.",1995,https://doi.org/10.1006/brln.1995.1069,yes,"LNJ, ND",Gandour et al. (1995).5,sad,E,constrained_production,sentence reading,between,Thai,RHD,HC,12,9,emotional,intensity_variability,Utterance,8.381374723,8.787610619,5.345930652,3.902654867,Paper does not report what error bars represent. Based on size and author's other papers from the same era  we assume they are SE  and have calculated SD based on that assumption
Gandour1995,Gandour et al. (1995),"Gandour, J., Larsen, J., Dechongkit, S., Ponglorpisit, S., & Khunadorn, F. (1995). Speech prosody in affective contexts in Thai patients with right hemisphere lesions. Brain and Language, 51(3), 422-443.",1995,https://doi.org/10.1006/brln.1995.1069,yes,"LNJ, ND",Gandour et al. (1995).6,happy,E,constrained_production,sentence reading,between,Thai,RHD,HC,12,9,emotional,speech_duration,Utterance,1.1264,1.088,0.44340501,0.6144,Paper does not report what error bars represent. Based on size and author's other papers from the same era  we assume they are SE  and have calculated SD based on that assumption
Gandour1995,Gandour et al. (1995),"Gandour, J., Larsen, J., Dechongkit, S., Ponglorpisit, S., & Khunadorn, F. (1995). Speech prosody in affective contexts in Thai patients with right hemisphere lesions. Brain and Language, 51(3), 422-443.",1995,https://doi.org/10.1006/brln.1995.1069,yes,"LNJ, ND",Gandour et al. (1995).7,neutral,E,constrained_production,sentence reading,between,Thai,RHD,HC,12,9,emotional,speech_duration,Utterance,1.3184,1.0368,0.57642651,0.5376,Paper does not report what error bars represent. Based on size and author's other papers from the same era  we assume they are SE  and have calculated SD based on that assumption
Gandour1995,Gandour et al. (1995),"Gandour, J., Larsen, J., Dechongkit, S., Ponglorpisit, S., & Khunadorn, F. (1995). Speech prosody in affective contexts in Thai patients with right hemisphere lesions. Brain and Language, 51(3), 422-443.",1995,https://doi.org/10.1006/brln.1995.1069,yes,"LNJ, ND",Gandour et al. (1995).8,sad,E,constrained_production,sentence reading,between,Thai,RHD,HC,12,9,emotional,speech_duration,Utterance,1.5232,1.28,0.57642651,0.7296,Paper does not report what error bars represent. Based on size and author's other papers from the same era  we assume they are SE  and have calculated SD based on that assumption
Pell1999a,Pell (1999a),"Pell, M. D. (1999a). Fundamental frequency encoding of linguistic and emotional prosody by right hemisphere-damaged speakers. Brain and Language, 69(2), 161-192.",1999,https://doi.org/10.1006/brln.1999.2065,yes,"LNJ, ND",Pell (1999a),neutral,G,constrained_production,sentence reading,between,English,RHD,HC,10,10,emotional,pitch,Mean F0,-0.004583333,-0.096666667,1.087655547,1.348450362,Values are means from the two Ling categories
Pell1999a,Pell (1999a),"Pell, M. D. (1999a). Fundamental frequency encoding of linguistic and emotional prosody by right hemisphere-damaged speakers. Brain and Language, 69(2), 161-192.",1999,https://doi.org/10.1006/brln.1999.2065,yes,"LNJ, ND",Pell (1999a).1,sad,G,constrained_production,sentence reading,between,English,RHD,HC,10,10,emotional,pitch,Mean F0,-0.302916667,-0.710416667,0.700237213,0.993662832,Values are means from the two Ling categories
Pell1999a,Pell (1999a),"Pell, M. D. (1999a). Fundamental frequency encoding of linguistic and emotional prosody by right hemisphere-damaged speakers. Brain and Language, 69(2), 161-192.",1999,https://doi.org/10.1006/brln.1999.2065,yes,"LNJ, ND",Pell (1999a).2,happy,G,constrained_production,sentence reading,between,English,RHD,HC,10,10,emotional,pitch,Mean F0,0.147916667,0.7075,0.913231027,1.660464384,Values are means from the two Ling categories
Pell1999a,Pell (1999a),"Pell, M. D. (1999a). Fundamental frequency encoding of linguistic and emotional prosody by right hemisphere-damaged speakers. Brain and Language, 69(2), 161-192.",1999,https://doi.org/10.1006/brln.1999.2065,yes,"LNJ, ND",Pell (1999a).3,anger,G,constrained_production,sentence reading,between,English,RHD,HC,10,10,emotional,pitch,Mean F0,0.209444445,0.15125,0.975704899,1.190250801,Values are means from the two Ling categories
Pell1999a,Pell (1999a),"Pell, M. D. (1999a). Fundamental frequency encoding of linguistic and emotional prosody by right hemisphere-damaged speakers. Brain and Language, 69(2), 161-192.",1999,https://doi.org/10.1006/brln.1999.2065,yes,"LNJ, ND",Pell (1999a).4,declarative,G,constrained_production,sentence reading,between,English,RHD,HC,10,10,linguistic,pitch,Mean F0,-0.616458334,-0.636458334,1.143762229,1.238058882,Values are means from the four Emo categories
Pell1999a,Pell (1999a),"Pell, M. D. (1999a). Fundamental frequency encoding of linguistic and emotional prosody by right hemisphere-damaged speakers. Brain and Language, 69(2), 161-192.",1999,https://doi.org/10.1006/brln.1999.2065,yes,"LNJ, ND",Pell (1999a).5,interrogative,G,constrained_production,sentence reading,between,English,RHD,HC,10,10,linguistic,pitch,Mean F0,0.641388889,0.662291667,0.694652113,1.358355307,Values are means from the four Emo categoriesNA
Pell1999b,Pell (1999b),"Pell, M. D. (1999b). The temporal organization of affective and non-affective speech in patients with right-hemisphere infarcts. Cortex.",1999,https://doi.org/10.1016/S0010-9452(08)70813-X,yes,"LNJ, ND",Pell (1999b),neutral,G,constrained_production,sentence reading,between,English,RHD,HC,10,10,emotional,speech_duration,Vowel/Syllable,109.833333,104.277778,22.0335714,26.3817637,Values are means from the two Ling categories
Pell1999b,Pell (1999b),"Pell, M. D. (1999b). The temporal organization of affective and non-affective speech in patients with right-hemisphere infarcts. Cortex.",1999,https://doi.org/10.1016/S0010-9452(08)70813-X,yes,"LNJ, ND",Pell (1999b).1,sad,G,constrained_production,sentence reading,between,English,RHD,HC,10,10,emotional,speech_duration,Vowel/Syllable,108.055556,102.166667,20.7450086,26.2015077,Values are means from the two Ling categories
Pell1999b,Pell (1999b),"Pell, M. D. (1999b). The temporal organization of affective and non-affective speech in patients with right-hemisphere infarcts. Cortex.",1999,https://doi.org/10.1016/S0010-9452(08)70813-X,yes,"LNJ, ND",Pell (1999b).2,happy,G,constrained_production,sentence reading,between,English,RHD,HC,10,10,emotional,speech_duration,Vowel/Syllable,108.333333,103.833333,18.4803682,25.3378709,Values are means from the two Ling categories
Pell1999b,Pell (1999b),"Pell, M. D. (1999b). The temporal organization of affective and non-affective speech in patients with right-hemisphere infarcts. Cortex.",1999,https://doi.org/10.1016/S0010-9452(08)70813-X,yes,"LNJ, ND",Pell (1999b).3,anger,G,constrained_production,sentence reading,between,English,RHD,HC,10,10,emotional,speech_duration,Vowel/Syllable,105.777778,101.833333,20.0205491,27.0029144,Values are means from the two Ling categories
Pell1999b,Pell (1999b),"Pell, M. D. (1999b). The temporal organization of affective and non-affective speech in patients with right-hemisphere infarcts. Cortex.",1999,https://doi.org/10.1016/S0010-9452(08)70813-X,yes,"LNJ, ND",Pell (1999b).4,declarative,G,constrained_production,sentence reading,between,English,RHD,HC,10,10,linguistic,speech_duration,Vowel/Syllable,109.166667,103.805556,22.162678,26.2287894,Values are means from the four Emo categories
Pell1999b,Pell (1999b),"Pell, M. D. (1999b). The temporal organization of affective and non-affective speech in patients with right-hemisphere infarcts. Cortex.",1999,https://doi.org/10.1016/S0010-9452(08)70813-X,yes,"LNJ, ND",Pell (1999b).5,interrogative,G,constrained_production,sentence reading,between,English,RHD,HC,10,10,linguistic,speech_duration,Vowel/Syllable,106.833333,106.833333,18.4770706,18.4770706,Values are means from the four Emo categories
Balan1999,Balan & Gandour (1999),"Balan, A., & Gandour, J. (1999). Effect of sentence length on the production of linguistic stress by left-and right-hemisphere-damaged patients. Brain and language, 67(2), 73-94.",1999,https://doi.org/10.1006/brln.1998.2035,yes,"LNJ, ND",Balan & Gandour (1999),NA,F,constrained_production,picture naming - noun compounds and noun phrases,between,English,RHD,HC,8,8,linguistic,pitch_variability,Mean ratio between contrasting syllables,0.979545455,0.977808989,0.001124943,9.53402e-4,NA
Balan1999,Balan & Gandour (1999),"Balan, A., & Gandour, J. (1999). Effect of sentence length on the production of linguistic stress by left-and right-hemisphere-damaged patients. Brain and language, 67(2), 73-94.",1999,https://doi.org/10.1006/brln.1998.2035,yes,"LNJ, ND",Balan & Gandour (1999).1,short sentence,F,constrained_production,picture naming - noun compounds and noun phrases,between,English,RHD,HC,8,8,linguistic,intensity_variability,Ratio syllable 1/2,0.970568182,0.969545455,0.08593250646288508,0.0028116926544807797,Values are means of the compounds and phrases. LHD values are for non-fluent patients. The paper also reports data from patients with fluent aphasia. Error bars in plots showed little to no standard error
Balan1999,Balan & Gandour (1999),"Balan, A., & Gandour, J. (1999). Effect of sentence length on the production of linguistic stress by left-and right-hemisphere-damaged patients. Brain and language, 67(2), 73-94.",1999,https://doi.org/10.1006/brln.1998.2035,yes,"LNJ, ND",Balan & Gandour (1999).2,medium sentence,F,constrained_production,picture naming - noun compounds and noun phrases,between,English,RHD,HC,8,8,linguistic,intensity_variability,Ratio syllable 1/2,0.973636364,0.972102273,0.08551758310126134,0.0029467216340783864,Values are means of the compounds and phrases. LHD values are for non-fluent patients. The paper also reports data from patients with fluent aphasia. Error bars in plots showed little to no standard error
